10th_score,12th_score,UG_score,Interests,Skills,Recommended_Career
76.55,90.61,8.48,Design,"Creativity, Sketch",UX/UI Designer
86.43,60.6,8.37,Software Development,"Problem Solving, C++, Java, OOP, Spring Boot",Software Developer
62.05,64.69,9.17,AI/ML,"NLP, Keras, Deep Learning, Python, Scikit-learn",Machine Learning Engineer
71.38,82.15,6.37,Cybersecurity,"Ethical Hacking, Linux, Wireshark, Firewalls, Cryptography",Cybersecurity Analyst
65.92,85.62,7.04,Software Development,"Problem Solving, Spring Boot, OOP",Software Developer
73.15,89.19,8.97,Software Development,"Git, C++, Problem Solving",Software Developer
69.26,85.59,7.09,Data Science,"Pandas, NumPy",Data Scientist
66.97,72.0,9.43,Cloud Computing,"AWS, Docker, DevOps, Kubernetes",Cloud Engineer
89.79,74.5,9.32,Software Development,"Spring Boot, Git, C++, Problem Solving",Software Developer
71.86,94.13,7.89,AI/ML,"Scikit-learn, Deep Learning, NLP",Machine Learning Engineer
69.98,93.65,6.51,AI/ML,"NLP, Keras",Machine Learning Engineer
87.34,82.54,9.44,Cybersecurity,"Wireshark, Firewalls",Cybersecurity Analyst
69.06,68.03,8.27,AI/ML,"Scikit-learn, Deep Learning, Python, TensorFlow, NLP",Machine Learning Engineer
61.84,79.94,8.79,Software Development,"Problem Solving, Git, C++",Software Developer
90.24,60.12,8.95,Web Development,"Node.js, HTML, CSS, React",Web Developer
72.4,86.31,9.03,AI/ML,"Scikit-learn, Python",Machine Learning Engineer
64.8,89.67,7.95,Cloud Computing,"Kubernetes, Azure, Docker",Cloud Engineer
76.59,82.36,7.31,Software Development,"Problem Solving, OOP, C++, Java",Software Developer
80.83,91.79,6.97,Software Development,"OOP, C++",Software Developer
77.49,80.5,8.28,Cloud Computing,"Azure, Kubernetes, DevOps",Cloud Engineer
86.66,61.35,6.39,AI/ML,"Scikit-learn, Deep Learning, NLP, Keras, Python",Machine Learning Engineer
74.71,60.39,8.52,Cybersecurity,"Linux, Network Security, Cryptography, Wireshark, Firewalls",Cybersecurity Analyst
73.82,92.27,9.33,Cloud Computing,"Kubernetes, AWS, Terraform, DevOps, Docker",Cloud Engineer
66.44,87.36,8.21,Cybersecurity,"Ethical Hacking, Linux, Firewalls, Cryptography, Wireshark",Cybersecurity Analyst
71.2,76.94,7.93,AI/ML,"Python, NLP, TensorFlow, Keras",Machine Learning Engineer
67.62,66.08,8.79,Design,"UI/UX, Sketch, Photoshop, Figma, Creativity",UX/UI Designer
93.57,72.35,8.73,AI/ML,"NLP, Keras",Machine Learning Engineer
60.81,77.93,9.03,Software Development,"Java, C++, Spring Boot",Software Developer
88.44,92.13,8.92,Data Science,"Data Analysis, SQL, Python, Pandas, NumPy",Data Scientist
63.17,91.61,6.7,Data Science,"Data Analysis, Machine Learning, Python",Data Scientist
75.59,60.76,9.04,Cloud Computing,"Terraform, Docker, AWS, Azure",Cloud Engineer
74.32,64.62,8.44,Design,"Photoshop, Creativity",UX/UI Designer
82.53,65.18,9.49,Cloud Computing,"Docker, Azure, AWS, Terraform",Cloud Engineer
90.49,73.07,7.1,Web Development,"JavaScript, HTML",Web Developer
65.14,90.93,9.0,Web Development,"Node.js, JavaScript",Web Developer
88.34,72.21,8.1,Software Development,"OOP, Spring Boot, Problem Solving",Software Developer
67.32,67.97,8.53,Software Development,"Git, C++, Java, Problem Solving, Spring Boot",Software Developer
74.02,75.45,7.55,Data Science,"SQL, Pandas, NumPy, Machine Learning, Data Analysis",Data Scientist
68.19,65.25,8.78,Data Science,"Pandas, Data Analysis, Python, Machine Learning, SQL",Data Scientist
61.48,94.62,8.55,Cybersecurity,"Ethical Hacking, Cryptography, Firewalls, Wireshark, Network Security",Cybersecurity Analyst
60.58,73.08,7.0,Cybersecurity,"Network Security, Linux, Firewalls",Cybersecurity Analyst
61.73,60.48,9.12,AI/ML,"TensorFlow, Deep Learning, NLP, Scikit-learn",Machine Learning Engineer
69.14,94.99,9.45,Cybersecurity,"Linux, Ethical Hacking, Firewalls, Wireshark, Cryptography",Cybersecurity Analyst
91.81,70.99,8.7,Cybersecurity,"Network Security, Wireshark, Cryptography",Cybersecurity Analyst
84.6,81.22,9.18,Cloud Computing,"AWS, Docker, Terraform, Kubernetes, Azure",Cloud Engineer
90.83,63.99,7.93,Cloud Computing,"DevOps, Kubernetes",Cloud Engineer
93.4,62.21,8.14,Software Development,"OOP, Java",Software Developer
86.11,68.36,7.83,Design,"Adobe XD, UI/UX",UX/UI Designer
73.79,64.31,8.59,Web Development,"Bootstrap, JavaScript, React",Web Developer
80.18,87.86,7.89,Data Science,"NumPy, SQL, Python",Data Scientist
68.83,93.79,7.06,Software Development,"Problem Solving, Git",Software Developer
81.9,79.94,6.96,Cloud Computing,"DevOps, Azure, AWS, Docker, Kubernetes",Cloud Engineer
66.89,94.56,9.36,Data Science,"Data Analysis, SQL, Pandas",Data Scientist
89.04,79.51,9.11,Design,"Creativity, Photoshop",UX/UI Designer
82.11,74.89,8.01,Cloud Computing,"Azure, DevOps, AWS, Docker",Cloud Engineer
82.13,73.9,8.13,Design,"Adobe XD, Sketch",UX/UI Designer
74.29,66.07,8.34,AI/ML,"Keras, Python, TensorFlow, Deep Learning",Machine Learning Engineer
82.26,62.68,6.79,Design,"Adobe XD, Sketch, Figma, UI/UX, Creativity",UX/UI Designer
72.61,64.58,7.76,Design,"Adobe XD, Figma",UX/UI Designer
73.37,90.33,7.41,Cybersecurity,"Firewalls, Linux, Wireshark, Cryptography, Ethical Hacking",Cybersecurity Analyst
86.07,75.9,8.33,Cloud Computing,"Kubernetes, Azure, Docker, AWS, Terraform",Cloud Engineer
81.93,91.4,9.26,Data Science,"Data Analysis, Python",Data Scientist
68.58,86.04,7.0,Software Development,"Spring Boot, Git, C++, Problem Solving, Java",Software Developer
62.5,90.86,7.92,Cloud Computing,"Azure, Kubernetes, AWS, Docker, Terraform",Cloud Engineer
73.25,69.01,6.4,Data Science,"Machine Learning, NumPy, SQL",Data Scientist
66.51,90.76,9.33,Software Development,"Problem Solving, OOP, Java",Software Developer
64.19,66.01,6.7,AI/ML,"NLP, TensorFlow, Python, Scikit-learn, Keras",Machine Learning Engineer
72.19,70.24,8.36,Web Development,"Node.js, CSS",Web Developer
93.03,94.41,7.76,Web Development,"Node.js, HTML, CSS, JavaScript",Web Developer
93.86,82.38,7.17,Web Development,"Bootstrap, HTML, Node.js, React, CSS",Web Developer
73.97,93.58,9.29,Data Science,"SQL, Machine Learning",Data Scientist
94.92,69.11,8.66,AI/ML,"Python, Keras, Deep Learning, TensorFlow, NLP",Machine Learning Engineer
80.63,76.98,9.35,Data Science,"Python, Data Analysis, NumPy, Pandas",Data Scientist
66.85,75.27,7.38,AI/ML,"NLP, Keras",Machine Learning Engineer
71.04,71.69,7.23,Data Science,"SQL, Data Analysis, Python",Data Scientist
75.88,91.84,8.72,Software Development,"Spring Boot, Git, Java, C++, OOP",Software Developer
94.2,65.75,8.41,Web Development,"React, HTML, CSS, Bootstrap, JavaScript",Web Developer
67.09,74.22,8.05,Data Science,"SQL, Data Analysis, Machine Learning, Python",Data Scientist
92.74,71.11,6.64,Data Science,"SQL, Data Analysis, Machine Learning, Pandas, Python",Data Scientist
94.68,81.67,9.44,AI/ML,"Python, Scikit-learn",Machine Learning Engineer
82.67,76.82,8.58,Design,"Sketch, UI/UX, Creativity",UX/UI Designer
92.19,89.83,8.56,AI/ML,"Scikit-learn, Deep Learning, NLP, Keras",Machine Learning Engineer
75.11,67.74,7.08,AI/ML,"Scikit-learn, NLP, TensorFlow",Machine Learning Engineer
86.3,91.75,9.11,Software Development,"Git, Problem Solving, C++, OOP",Software Developer
82.47,80.38,8.49,Cybersecurity,"Ethical Hacking, Wireshark, Network Security",Cybersecurity Analyst
78.93,91.63,6.68,Cybersecurity,"Network Security, Cryptography, Firewalls, Linux",Cybersecurity Analyst
67.19,62.97,7.37,Web Development,"Node.js, Bootstrap",Web Developer
79.27,84.04,8.37,Cybersecurity,"Linux, Firewalls, Cryptography, Wireshark, Ethical Hacking",Cybersecurity Analyst
89.48,87.56,7.49,Software Development,"Spring Boot, OOP",Software Developer
76.4,66.05,6.79,Cybersecurity,"Firewalls, Wireshark",Cybersecurity Analyst
65.19,72.23,7.13,Design,"Photoshop, UI/UX, Creativity",UX/UI Designer
81.92,78.77,7.98,Cybersecurity,"Network Security, Wireshark",Cybersecurity Analyst
66.01,78.27,9.19,AI/ML,"TensorFlow, Keras, NLP",Machine Learning Engineer
82.34,88.4,7.72,Web Development,"Bootstrap, CSS, Node.js, JavaScript, HTML",Web Developer
78.98,62.45,7.99,AI/ML,"Python, Scikit-learn",Machine Learning Engineer
88.54,78.64,6.93,Software Development,"Spring Boot, Problem Solving, Java, OOP",Software Developer
80.72,72.23,8.36,AI/ML,"Python, Deep Learning, Keras",Machine Learning Engineer
88.49,66.19,7.75,Data Science,"SQL, Pandas",Data Scientist
89.5,85.77,7.83,Data Science,"Pandas, Data Analysis, Machine Learning, NumPy",Data Scientist
62.16,60.09,7.09,AI/ML,"TensorFlow, Keras, Scikit-learn, NLP",Machine Learning Engineer
61.04,82.85,6.12,Data Science,"Machine Learning, SQL, Data Analysis",Data Scientist
63.41,73.92,7.93,Design,"Adobe XD, UI/UX, Photoshop, Sketch, Figma",UX/UI Designer
67.73,80.34,8.07,Cybersecurity,"Firewalls, Wireshark, Linux",Cybersecurity Analyst
60.66,82.68,6.52,AI/ML,"Python, Scikit-learn, NLP, Deep Learning, TensorFlow",Machine Learning Engineer
76.56,75.86,8.14,Software Development,"Spring Boot, Java, Git, C++",Software Developer
88.63,73.09,6.75,Web Development,"JavaScript, React, CSS, Bootstrap, HTML",Web Developer
62.43,92.07,8.79,Design,"UI/UX, Sketch, Figma, Adobe XD, Photoshop",UX/UI Designer
65.03,83.71,7.63,Cloud Computing,"Terraform, DevOps, AWS, Azure",Cloud Engineer
83.75,80.77,7.81,AI/ML,"Python, Keras",Machine Learning Engineer
60.88,87.47,7.99,AI/ML,"NLP, Scikit-learn",Machine Learning Engineer
74.1,85.64,6.78,Cybersecurity,"Ethical Hacking, Firewalls",Cybersecurity Analyst
79.57,67.33,6.4,Data Science,"Pandas, SQL",Data Scientist
87.69,64.42,6.27,AI/ML,"Keras, NLP, Scikit-learn",Machine Learning Engineer
72.85,61.62,7.68,Software Development,"C++, Java, Problem Solving, Spring Boot, OOP",Software Developer
81.97,94.44,8.41,Cybersecurity,"Cryptography, Wireshark, Linux",Cybersecurity Analyst
67.96,73.59,9.13,Software Development,"Git, C++, Java",Software Developer
84.81,76.06,7.26,Design,"Adobe XD, Photoshop",UX/UI Designer
62.09,68.79,8.88,Design,"Photoshop, Creativity",UX/UI Designer
70.37,80.85,7.59,Cloud Computing,"DevOps, Docker, Azure, Kubernetes, Terraform",Cloud Engineer
61.2,60.23,6.97,Data Science,"NumPy, Data Analysis, Pandas",Data Scientist
89.06,62.68,9.34,Design,"Creativity, Sketch, Photoshop",UX/UI Designer
65.04,86.18,8.52,Web Development,"React, Node.js, HTML, CSS",Web Developer
68.06,93.97,8.01,Software Development,"C++, OOP",Software Developer
75.67,67.19,7.41,AI/ML,"Deep Learning, Keras, Python",Machine Learning Engineer
94.86,77.09,6.9,Cybersecurity,"Linux, Firewalls, Network Security, Wireshark",Cybersecurity Analyst
65.6,70.39,7.27,Web Development,"HTML, JavaScript, CSS",Web Developer
70.2,76.92,6.46,Data Science,"Data Analysis, SQL, Pandas",Data Scientist
82.9,92.83,6.53,Web Development,"CSS, Node.js, Bootstrap, HTML",Web Developer
60.86,79.46,9.06,Software Development,"Git, C++, Problem Solving, OOP",Software Developer
93.23,88.42,7.06,Cybersecurity,"Cryptography, Ethical Hacking, Firewalls",Cybersecurity Analyst
66.61,74.74,7.86,Data Science,"SQL, Python",Data Scientist
92.86,67.88,7.63,AI/ML,"NLP, TensorFlow, Python",Machine Learning Engineer
62.51,74.34,8.19,Data Science,"Python, Data Analysis, Machine Learning, NumPy",Data Scientist
68.91,73.46,7.91,Cloud Computing,"DevOps, AWS, Docker, Azure",Cloud Engineer
76.7,86.55,6.73,AI/ML,"TensorFlow, Deep Learning, Scikit-learn, Keras, Python",Machine Learning Engineer
69.07,69.58,7.43,Software Development,"OOP, Problem Solving, Java",Software Developer
94.97,86.94,6.04,Cloud Computing,"Terraform, Kubernetes, Docker, DevOps, AWS",Cloud Engineer
85.61,80.95,9.31,Software Development,"C++, Git",Software Developer
64.78,78.65,7.79,Data Science,"NumPy, Pandas, Data Analysis, Machine Learning",Data Scientist
62.6,72.87,8.93,Software Development,"Java, Problem Solving",Software Developer
81.71,73.76,7.78,Software Development,"Java, Git, OOP, Spring Boot, Problem Solving",Software Developer
75.08,60.23,7.12,AI/ML,"TensorFlow, NLP, Keras, Python",Machine Learning Engineer
79.79,85.28,6.58,Cloud Computing,"Docker, Azure, AWS",Cloud Engineer
71.38,80.95,9.35,Web Development,"Bootstrap, JavaScript",Web Developer
72.42,82.36,8.25,Software Development,"Spring Boot, Git, OOP, C++, Java",Software Developer
94.41,61.11,7.87,AI/ML,"Keras, Scikit-learn",Machine Learning Engineer
64.11,90.09,6.56,Cloud Computing,"AWS, DevOps, Kubernetes, Terraform",Cloud Engineer
76.05,71.28,8.27,Software Development,"Problem Solving, C++",Software Developer
82.97,83.05,6.87,Data Science,"SQL, Data Analysis, NumPy",Data Scientist
65.9,80.07,6.44,Software Development,"OOP, Spring Boot, Git",Software Developer
66.99,77.71,6.27,Cybersecurity,"Wireshark, Ethical Hacking, Cryptography",Cybersecurity Analyst
61.03,91.63,7.87,AI/ML,"Deep Learning, Scikit-learn, NLP, TensorFlow, Python",Machine Learning Engineer
63.69,72.54,9.3,Web Development,"JavaScript, CSS",Web Developer
93.31,75.56,7.29,Data Science,"NumPy, Machine Learning, Python",Data Scientist
63.53,85.58,7.6,Data Science,"SQL, Data Analysis, Machine Learning, NumPy, Python",Data Scientist
88.21,70.27,7.21,AI/ML,"NLP, Scikit-learn, Keras, TensorFlow, Python",Machine Learning Engineer
90.16,73.96,7.13,Cloud Computing,"Kubernetes, AWS, Docker",Cloud Engineer
64.8,92.07,7.66,Cybersecurity,"Firewalls, Ethical Hacking",Cybersecurity Analyst
83.06,61.56,8.49,AI/ML,"TensorFlow, Scikit-learn, NLP, Python, Keras",Machine Learning Engineer
85.84,85.14,8.78,Cybersecurity,"Wireshark, Firewalls",Cybersecurity Analyst
66.88,80.17,6.09,Data Science,"Python, NumPy, Data Analysis",Data Scientist
67.67,91.54,6.35,AI/ML,"Scikit-learn, Python, Deep Learning, NLP",Machine Learning Engineer
75.3,66.09,7.08,Cloud Computing,"Docker, AWS, DevOps, Kubernetes, Terraform",Cloud Engineer
69.41,70.11,7.37,AI/ML,"NLP, Python",Machine Learning Engineer
74.67,90.54,7.91,Cloud Computing,"Docker, Azure, AWS, Kubernetes, Terraform",Cloud Engineer
61.53,88.38,9.0,Software Development,"Problem Solving, Git",Software Developer
83.98,64.39,6.66,Cloud Computing,"Docker, Terraform, AWS, Kubernetes, DevOps",Cloud Engineer
64.74,64.11,7.64,Web Development,"React, Bootstrap",Web Developer
82.14,82.71,8.97,Cybersecurity,"Cryptography, Ethical Hacking",Cybersecurity Analyst
63.05,88.37,8.33,Cybersecurity,"Cryptography, Network Security",Cybersecurity Analyst
75.53,76.55,7.17,Data Science,"Data Analysis, Pandas, Machine Learning, NumPy",Data Scientist
76.74,67.22,6.68,Web Development,"JavaScript, React, HTML",Web Developer
84.27,92.98,7.66,Cybersecurity,"Wireshark, Linux, Cryptography, Firewalls",Cybersecurity Analyst
80.43,87.52,9.03,AI/ML,"Deep Learning, TensorFlow, NLP, Keras, Scikit-learn",Machine Learning Engineer
92.42,83.83,8.35,Web Development,"CSS, Node.js, JavaScript, HTML",Web Developer
78.36,92.11,7.43,AI/ML,"Scikit-learn, Deep Learning, TensorFlow",Machine Learning Engineer
62.4,60.46,6.24,Cybersecurity,"Cryptography, Linux, Firewalls",Cybersecurity Analyst
92.1,87.45,9.24,Web Development,"Bootstrap, HTML, React",Web Developer
62.28,73.99,9.11,Cybersecurity,"Linux, Wireshark, Network Security, Cryptography",Cybersecurity Analyst
72.19,68.87,6.62,Cybersecurity,"Wireshark, Firewalls",Cybersecurity Analyst
65.36,78.53,8.04,AI/ML,"Scikit-learn, NLP, Deep Learning, Python, Keras",Machine Learning Engineer
91.7,84.1,9.05,Cybersecurity,"Wireshark, Ethical Hacking",Cybersecurity Analyst
80.52,81.29,8.07,Web Development,"HTML, JavaScript, Bootstrap, Node.js, CSS",Web Developer
78.09,88.19,6.74,Cybersecurity,"Firewalls, Cryptography, Wireshark",Cybersecurity Analyst
67.34,70.34,8.8,Cybersecurity,"Cryptography, Ethical Hacking",Cybersecurity Analyst
76.14,92.27,6.39,Software Development,"Problem Solving, OOP, C++",Software Developer
90.49,76.4,8.94,Data Science,"Machine Learning, SQL, Python, Data Analysis",Data Scientist
82.65,93.63,8.22,Cloud Computing,"Docker, AWS, Azure, Terraform",Cloud Engineer
89.36,70.71,6.21,Data Science,"Data Analysis, Python, Machine Learning",Data Scientist
71.83,65.72,7.86,AI/ML,"Python, Deep Learning",Machine Learning Engineer
65.98,83.1,6.83,Cloud Computing,"Docker, Azure, DevOps, AWS, Kubernetes",Cloud Engineer
65.63,62.31,6.12,Design,"Sketch, UI/UX, Adobe XD, Creativity",UX/UI Designer
61.12,85.2,6.59,Data Science,"Data Analysis, NumPy",Data Scientist
67.66,81.47,9.27,Cybersecurity,"Wireshark, Linux, Firewalls, Ethical Hacking",Cybersecurity Analyst
68.35,85.06,8.75,Cybersecurity,"Cryptography, Linux, Wireshark, Firewalls, Ethical Hacking",Cybersecurity Analyst
90.7,88.87,6.77,Software Development,"Git, Spring Boot, C++, Java",Software Developer
94.59,93.71,8.35,Design,"UI/UX, Creativity",UX/UI Designer
85.56,77.04,8.71,Software Development,"OOP, Spring Boot, Git, Problem Solving",Software Developer
91.74,79.73,8.62,Cybersecurity,"Ethical Hacking, Linux, Firewalls, Wireshark",Cybersecurity Analyst
90.66,83.43,8.88,Cloud Computing,"Kubernetes, Terraform, Azure, AWS",Cloud Engineer
75.83,83.77,8.29,AI/ML,"Scikit-learn, Deep Learning, TensorFlow, Python, Keras",Machine Learning Engineer
63.35,68.89,7.33,Design,"Adobe XD, Sketch, Photoshop, UI/UX",UX/UI Designer
67.29,62.7,6.86,Cybersecurity,"Wireshark, Network Security, Cryptography, Linux",Cybersecurity Analyst
90.44,83.66,8.3,Cybersecurity,"Network Security, Wireshark, Ethical Hacking, Linux, Firewalls",Cybersecurity Analyst
78.72,61.13,9.25,Design,"Figma, Sketch, Adobe XD",UX/UI Designer
86.58,87.11,6.77,Software Development,"Java, Problem Solving, OOP, Spring Boot, C++",Software Developer
94.52,88.03,7.78,Design,"UI/UX, Creativity, Adobe XD, Figma, Sketch",UX/UI Designer
70.71,79.79,7.96,Data Science,"Machine Learning, Pandas, Data Analysis, SQL, Python",Data Scientist
82.84,85.73,7.97,Cloud Computing,"Azure, Kubernetes, Terraform",Cloud Engineer
82.39,80.15,8.25,AI/ML,"Deep Learning, NLP",Machine Learning Engineer
70.29,60.78,8.41,Software Development,"Java, Spring Boot, C++",Software Developer
90.96,61.32,8.55,Web Development,"CSS, React, Bootstrap, HTML, JavaScript",Web Developer
60.94,90.47,8.75,Cloud Computing,"Azure, Docker, DevOps",Cloud Engineer
81.31,67.57,7.39,Cybersecurity,"Ethical Hacking, Wireshark",Cybersecurity Analyst
90.39,70.13,7.35,Software Development,"Git, C++",Software Developer
74.46,87.24,6.25,AI/ML,"TensorFlow, NLP, Scikit-learn, Python, Deep Learning",Machine Learning Engineer
86.33,76.76,8.14,Cybersecurity,"Wireshark, Firewalls, Linux, Ethical Hacking",Cybersecurity Analyst
68.54,87.92,7.07,Data Science,"Pandas, NumPy",Data Scientist
60.11,74.82,8.09,Software Development,"C++, Git, Java",Software Developer
72.08,65.97,9.01,AI/ML,"TensorFlow, Scikit-learn",Machine Learning Engineer
65.16,78.71,9.3,Design,"Adobe XD, UI/UX, Figma",UX/UI Designer
65.31,88.52,6.18,Cloud Computing,"DevOps, Terraform, Azure, Docker",Cloud Engineer
62.48,67.43,7.25,Software Development,"Spring Boot, Problem Solving, C++, Git, OOP",Software Developer
75.9,64.46,6.96,Web Development,"Node.js, JavaScript",Web Developer
86.79,60.26,6.16,AI/ML,"Python, Keras, NLP, TensorFlow, Scikit-learn",Machine Learning Engineer
72.35,75.12,6.89,Design,"UI/UX, Photoshop, Figma",UX/UI Designer
80.03,94.42,7.41,Cloud Computing,"AWS, Terraform, DevOps, Kubernetes",Cloud Engineer
68.57,87.2,8.91,Web Development,"HTML, Bootstrap, React, Node.js, CSS",Web Developer
63.78,66.1,7.39,Software Development,"Problem Solving, Git, Spring Boot",Software Developer
79.54,80.06,6.1,AI/ML,"Scikit-learn, TensorFlow, NLP, Keras, Deep Learning",Machine Learning Engineer
73.93,78.14,7.19,Cybersecurity,"Network Security, Linux, Firewalls",Cybersecurity Analyst
81.01,73.45,7.49,Cybersecurity,"Network Security, Wireshark",Cybersecurity Analyst
73.23,90.65,8.85,Design,"UI/UX, Figma",UX/UI Designer
77.56,86.57,6.42,Cybersecurity,"Network Security, Wireshark, Cryptography, Firewalls",Cybersecurity Analyst
85.26,85.44,8.49,Data Science,"Machine Learning, Data Analysis, Python, NumPy, SQL",Data Scientist
73.56,93.64,7.59,Cybersecurity,"Wireshark, Network Security, Cryptography, Linux, Ethical Hacking",Cybersecurity Analyst
62.09,92.98,6.93,Software Development,"Problem Solving, Git, OOP",Software Developer
70.67,71.22,8.28,Design,"Sketch, Figma, Creativity, Photoshop",UX/UI Designer
68.68,83.91,7.71,Web Development,"JavaScript, Node.js, React, Bootstrap, CSS",Web Developer
68.43,78.18,8.13,Data Science,"Data Analysis, Pandas, Machine Learning",Data Scientist
89.32,79.01,6.42,Cybersecurity,"Wireshark, Linux, Network Security",Cybersecurity Analyst
72.29,63.59,6.92,Web Development,"React, JavaScript, CSS, HTML",Web Developer
75.74,66.89,6.12,Data Science,"Pandas, Machine Learning, Python",Data Scientist
66.2,78.3,6.88,Cloud Computing,"Docker, Terraform, AWS",Cloud Engineer
81.92,64.73,7.8,Software Development,"C++, OOP, Spring Boot, Java",Software Developer
65.28,62.01,7.86,AI/ML,"Python, Keras",Machine Learning Engineer
75.9,83.24,6.37,Web Development,"JavaScript, CSS, Node.js",Web Developer
